region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
IT,persistence,horizon,3.00000,1,NA,246.000,231.000,01-14,19.2525,140.862,0.596263,81.0000,true,true,19.4228,0.00876783
IT,persistence,horizon,3.00000,2,NA,246.000,231.000,01-14,19.2525,140.862,0.596263,81.0000,true,true,19.4228,0.00876783
IT,persistence,horizon,3.00000,3,NA,246.000,231.000,01-14,19.2525,140.862,0.596263,81.0000,true,true,19.4228,0.00876783
IT,persistence,horizon,3.00000,4,NA,246.000,231.000,01-14,19.2525,140.862,0.596263,81.0000,true,true,19.4228,0.00876783
IT,persistence,horizon,3.00000,5,NA,246.000,231.000,01-14,19.2525,140.862,0.596263,81.0000,true,true,19.4228,0.00876783
IT,persistence,horizon,6.00000,1,NA,246.000,231.000,01-14,19.0815,140.881,0.595407,81.0000,true,true,19.4228,0.0175744
IT,persistence,horizon,6.00000,2,NA,246.000,231.000,01-14,19.0815,140.881,0.595407,81.0000,true,true,19.4228,0.0175744
IT,persistence,horizon,6.00000,3,NA,246.000,231.000,01-14,19.0815,140.881,0.595407,81.0000,true,true,19.4228,0.0175744
IT,persistence,horizon,6.00000,4,NA,246.000,231.000,01-14,19.0815,140.881,0.595407,81.0000,true,true,19.4228,0.0175744
IT,persistence,horizon,6.00000,5,NA,246.000,231.000,01-14,19.0815,140.881,0.595407,81.0000,true,true,19.4228,0.0175744
IT,persistence,horizon,12.0000,1,NA,246.000,231.000,01-14,18.7251,140.919,0.593626,81.0000,true,true,19.4228,0.0359233
IT,persistence,horizon,12.0000,2,NA,246.000,231.000,01-14,18.7251,140.919,0.593626,81.0000,true,true,19.4228,0.0359233
IT,persistence,horizon,12.0000,3,NA,246.000,231.000,01-14,18.7251,140.919,0.593626,81.0000,true,true,19.4228,0.0359233
IT,persistence,horizon,12.0000,4,NA,246.000,231.000,01-14,18.7251,140.919,0.593626,81.0000,true,true,19.4228,0.0359233
IT,persistence,horizon,12.0000,5,NA,246.000,231.000,01-14,18.7251,140.919,0.593626,81.0000,true,true,19.4228,0.0359233
IT,persistence,horizon,24.0000,1,NA,246.000,231.000,01-14,17.5355,140.996,0.587677,81.0000,true,true,19.4228,0.0971721
IT,persistence,horizon,24.0000,2,NA,246.000,231.000,01-14,17.5355,140.996,0.587677,81.0000,true,true,19.4228,0.0971721
IT,persistence,horizon,24.0000,3,NA,246.000,231.000,01-14,17.5355,140.996,0.587677,81.0000,true,true,19.4228,0.0971721
IT,persistence,horizon,24.0000,4,NA,246.000,231.000,01-14,17.5355,140.996,0.587677,81.0000,true,true,19.4228,0.0971721
IT,persistence,horizon,24.0000,5,NA,246.000,231.000,01-14,17.5355,140.996,0.587677,81.0000,true,true,19.4228,0.0971721
IT,persistence,horizon,72.0000,1,NA,246.000,231.000,01-14,12.4153,141.304,0.562077,81.0000,true,true,19.4228,0.360787
IT,persistence,horizon,72.0000,2,NA,246.000,231.000,01-14,12.4153,141.304,0.562077,81.0000,true,true,19.4228,0.360787
IT,persistence,horizon,72.0000,3,NA,246.000,231.000,01-14,12.4153,141.304,0.562077,81.0000,true,true,19.4228,0.360787
IT,persistence,horizon,72.0000,4,NA,246.000,231.000,01-14,12.4153,141.304,0.562077,81.0000,true,true,19.4228,0.360787
IT,persistence,horizon,72.0000,5,NA,246.000,231.000,01-14,12.4153,141.304,0.562077,81.0000,true,true,19.4228,0.360787
